POS_TAG	STTS_TAG
$(	$(
$,	$,
$.	$.
ADJA	ADJA
ADJD	ADJD
ADJN	ADJD
ADV	ADV
ADVREL	ADV
APPO	APPO
APPR	APPR
APPRART	APPRART
APZR	APZR
ART	ART
CARD	CARD
FM	FM
ITJ	ITJ
KOKOM	KOKOM
KON	KON
KOUI	KOUI
KOUS	KOUS
NE	NE
NN	NN
PAV	PAV
PDAT	PDAT
PDS	PDS
PDS_PRELS	PRELS
PIAT	PIAT
PIS	PIS
PPER	PPER
PPOSAT	PPOSAT
PPOSN	PPOSAT
PPOSS	PPOSS
PRELAT	PRELAT
PRELF	PRELS
PRELS	PRELS
PRF	PRF
PTKA	PTKA
PTKANT	PTKANT
PTKNEG	PTKNEG
PTKVZ	PTKVZ
PTKVZ_APPR	PTKVZ
PTKZU	PTKZU
PWAT	PWAT
PWAV	PWAV
PWS	PWS
TRUNC	TRUNC
VAFIN	VAFIN
VAIMP	VAIMP
VAINF	VAINF
VAPP	VAPP
VMFIN	VMFIN
VMINF	VMINF
VMPP	VMPP
VVFIN	VVFIN
VVIMP	VVIMP
VVINF	VVINF
VVIZU	VVIZU
VVPP	VVPP
XY	XY
