POS_TAG	STTS_TAG
$(	$(
$,	$,
$.	$.
ADJA	ADJA
ADJAA	ADJA
ADJD	ADJD
ADJDA	ADJD
ADV	ADV
ADVA	ADV
APPO	APPO
APPOA	APPO
APPR	APPR
APPRA	APPR
APPRART	APPRART
APZR	APZR
APZRA	APZR
ART	ART
ARTA	ART
CARD	CARD
CARDA	CARD
FM	FM
FMA	FM
ITJ	ITJ
KOKOM	KOKOM
KON	KON
KONA	KON
KOUI	KOUI
KOUS	KOUS
KOUSA	KOUS
NE	NE
NEA	NE
NEDIM	NE
NEMOV	NE
NN	NN
NNA	NN
NNDIM	NN
NNDIMA	NN
NNMOV	NN
PDAT	PDAT
PDATA	PDAT
PDS	PDS
PDSA	PDS
PIAT	PIAT
PIATA	PIAT
PIS	PIS
PISA	PIS
PPER	PPER
PPERA	PPER
PPOSAT	PPOSAT
PPOSATA	PPOSAT
PPOSS	PPOSS
PRELAT	PRELAT
PRELS	PRELS
PRELSA	PRELS
PRF	PRF
PROAV	PAV
PROAVA	PAV
PTKA	PTKA
PTKANT	PTKANT
PTKNEG	PTKNEG
PTKVZ	PTKVZ
PTKZU	PTKZU
PWAT	PWAT
PWAV	PWAV
PWAVA	PWAV
PWS	PWS
PWSA	PWS
TRUNC	TRUNC
VAFIN	VAFIN
VAFINA	VAFIN
VAIMP	VAIMP
VAINF	VAINF
VAINFA	VAINF
VAPP	VAPP
VAPPA	VAPP
VMFIN	VMFIN
VMFINA	VMFIN
VMINF	VMINF
VMINFA	VMINF
VMPP	VMPP
VMPPA	VMPP
VVFIN	VVFIN
VVFINA	VVFIN
VVIMP	VVIMP
VVINF	VVINF
VVINFA	VVINF
VVIZU	VVIZU
VVIZUA	VVIZU
VVPP	VVPP
VVPPA	VVPP
XY	XY
