POS_TAG	POSLEMMA_TAG	STTS
$(	$(	$(
$_	$_	$. oder $, (abhängig von Wortform/punc-Annotation)
ADJA	ADJ	ADJA
ADJA	VVPP	ADJA
ADJA	VVPS	ADJA
ADJD	ADJ	ADJD
ADJD	VVPP	ADJD
ADJD	VVPS	ADJD
ADJN	ADJ	ADJD
ADJN	VVPP	ADJD
ADJS	ADJ	ADJA
ADJS	VVPP	ADJA
ADJS	VVPS	ADJA
APPO	AP	APPO
APPR	AP	APPR
APPRDDART	AP	APPRART
APZR	AP	APZR
AVD	ADJ	ADV
AVD	AVD	ADV
AVD	VVPP	ADV
AVD	VVPS	ADV
AVG	AVG	PWAV
AVNEG	AVD	ADV
AVW	AVW	PWAV
CARDA	CARD	CARD
CARDD	CARD	CARD
CARDN	CARD	CARD
CARDS	CARD	CARD
DDA	DD	PDAT
DDART	DD	ART
DDD	DD	PDS
DDN	DD	PDAT
DDS	DD	PDS
DIA	DI	PIAT	In neueren Daten eigentlich eher ART?
DIART	DI	ART
DID	DI	PIS
DIN	DI	PIAT
DIS	DI	PIS
DNEGA	DI	PIAT
DNEGS	DI	PIS
DPOSA	DPOS	PPOSAT
DPOSD	DPOS	PPOSS
DPOSN	DPOS	PPOSAT
DPOSS	DPOS	NN
DRELS	DD	PRELS/PRELAT (abhängig von folgender Wortart: vor STTS-ADJA, -NN -> PRELAT, sonst PRELS)
DWA	DW	PWAT
DWS	DW	PWS
FM	FM	FM
ITJ	ITJ	ITJ
KO*	KO	KOUS
KOKOM	KO	KOKOM
KON	KO	KON
KOUI	KO	KOUI
KOUS	KO	KOUS
NA	NA	NN
NA	VAPP	NN
NA	VVINF	NN
NA	VVPP	NN
NA	VVPS	NN
NE	NE	NE
PAVAP	AP	APPR
PAVAP	AVD	PAV
PAVD	AVD	ADV
PAVDAP	AVDAP	PAV
PAVRELAP	AVDAP	PAV
PAVW	AVW	PWAV
PAVWAP	AVDAP	PWAV
PG	PG	PWS
PI	NA	PIS
PI	PI	PIS
PI	PW	PIS
PNEG	PI	PIS
PPER	PPER	PPER
PRF	PPER	PRF
PRF	PRF	PRF
PTKA	PTK	PTKA
PTKANT	PTK	PTKANT
PTKNEG	PI	PTKNEG
PTKNEG	PTK	PTKNEG
PTKREL	PTK	PRELS	?
PTKVZ	AVD	PTKVZ
PTKZU	PTK	PTKZU
PW	PW	PWS/PWAT (abhängig von folgender Wortart: vor STTS-ADJA/-NN -> PWAT, sonst PWS)
SPELL	SPELL	XY
SYM	SYM	XY
TRUNC	NA	TRUNC
UNK	UNK	XY
VAFIN	VA	VAFIN
VAIMP	VA	VAIMP
VAINF	VA	VAINF
VAPP	VA	VAPP
VAPS	VA	ADJD
VMFIN	VM	VMFIN
VMIMP	VM	VMIMP
VMINF	VM	VMINF
VMPP	VM	VMPP
VMPS	VM	ADJD
VVFIN	VV	VVFIN
VVIMP	VV	VVIMP
VVINF	VV	VVINF
VVPP	VV	VVPP
VVPS	VV	ADJD
